<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTC.V,D,20230831,000000,27259.7,27568.89,25665.63,26021.45,123075.87249336936,0
BTC.V,D,20230901,000000,26021.45,26145.79,25325.07,25791.32,106298.55753812898,0
BTC.V,D,20230902,000000,25791.32,25982.29,25742.17,25856,38280.256682397616,0
BTC.V,D,20230903,000000,25856,26121.55,25796.44,25963.03,36429.14305912389,0
BTC.V,D,20230904,000000,25963.03,26100.44,25624.03,25670.53,49250.621257756466,0
BTC.V,D,20230905,000000,25664.94,25871.36,25554.77,25722.41,65598.10569467586,0
BTC.V,D,20230906,000000,25722.41,26005.71,25403.69,25709.94,59888.69208314779,0
BTC.V,D,20230907,000000,25711.28,26419.4,25600.05,26146.66,63287.65015567616,0
BTC.V,D,20230908,000000,26172.91,26433.85,25667.68,25890.59,82178.33474340997,0
BTC.V,D,20230909,000000,25888.97,25934.06,25789.16,25883.52,24415.662229157,0
BTC.V,D,20230910,000000,25883.51,25910.41,25577.43,25892.97,41406.04379835079,0
BTC.V,D,20230911,000000,25915.41,26020.64,24905.27,25139.94,89888.30485004053,0
BTC.V,D,20230912,000000,25139.95,26544.55,25077.98,26100.63,127832.87230938718,0
BTC.V,D,20230913,000000,26098.67,26403.37,25761.85,26232.02,80109.11826512477,0
BTC.V,D,20230914,000000,26232.03,26857.15,26128.6,26542.54,104390.98835905503,0
BTC.V,D,20230915,000000,26542.54,26689.19,26224,26468.34,59465.165382702566,0
BTC.V,D,20230916,000000,26469.19,26885.84,26450.47,26572.4,43191.27390145059,0
BTC.V,D,20230917,000000,26572.4,26628.03,26404.56,26491.28,26792.27881041177,0
BTC.V,D,20230918,000000,26491.28,27414.76,26383.39,26843.43,113103.68693541572,0
BTC.V,D,20230919,000000,26843.44,27485.2,26673.92,27161.78,101615.83610039111,0
BTC.V,D,20230920,000000,27161.78,27391.91,26805.32,27111.78,88809.30814764448,0
BTC.V,D,20230921,000000,27113.72,27159.86,26375.86,26612.62,93259.47177798738,0
BTC.V,D,20230922,000000,26612.62,26739.64,26470.2,26567.2,50223.082007928024,0
BTC.V,D,20230923,000000,26567.48,26633.61,26510.06,26570.66,20927.689936915136,0
BTC.V,D,20230924,000000,26570.65,26739.31,26341.49,26520.41,31044.04169560471,0
BTC.V,D,20230925,000000,26520.42,26520.42,25994.02,26278.3,82087.3210543929,0
BTC.V,D,20230926,000000,26278.3,26392.18,26080.57,26154.15,36857.22702184931,0
BTC.V,D,20230927,000000,26226.88,26827.97,26094.3,26260.18,72515.03926950823,0
BTC.V,D,20230928,000000,26260.55,27296.34,26260.54,27004.5,95009.36420976096,0
